periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_ingles;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_depto_presentacion;estu_depto_reside;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_individual;estu_pais_reside;estu_pilopaga;estu_privado_libertad;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_personashogar;fami_tieneautomovil;fami_tienecomputador;fami_tieneinternet;fami_tienelavadora;fami_tieneserviciotv;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20142;SB11201420220114;ESTUDIANTE;CC;URBANO;N;A;TÉCNICO;181794000624;181794000624;81;81794;30676;ARAUCA;MIXTO;NOCHE;TAME;OFICIAL;INSTITUCION EDUCATIVA TECNICO INDUSTRIAL FROILAN FARIAS;COLEGIO TECNICO INDUSTRIAL FROILAN FARIAS;S;A1;S;81;81794;81;81794;ARAUCA;ARAUCA;;30/07/1995;M;26;39.98344;TAME;TAME;COLOMBIA;NSE1;COLOMBIA;NO;N;Dos;Primaria completa;Primaria incompleta;Estrato 1;Cuatro;No;No;No;No;Si;52;240;50;41;53;45
20142;SB11201420272166;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO;181736001491;181736001491;81;81736;52894;ARAUCA;MIXTO;COMPLETA;SARAVENA;OFICIAL;IE CONCENTRACION DE DESARROLLO RURAL;CONCENTRACION DE DESARROLLO RURAL;S;A1;S;81;81736;81;81736;ARAUCA;ARAUCA;Ninguno;14/01/1997;M;11;43.301418;SARAVENA;SARAVENA;COLOMBIA;NSE2;COLOMBIA;NO;N;Dos;Primaria completa;Primaria completa;Estrato 1;Cinco;No;Si;No;No;No;58;287;54;55;62;56
20142;SB11201420269948;ESTUDIANTE;CC;URBANO;N;A;TÉCNICO;181736001491;181736001491;81;81736;52894;ARAUCA;MIXTO;COMPLETA;SARAVENA;OFICIAL;IE CONCENTRACION DE DESARROLLO RURAL;CONCENTRACION DE DESARROLLO RURAL;S;A-;S;81;81736;81;81736;ARAUCA;ARAUCA;Ninguno;10/02/1995;F;11;34.885887;SARAVENA;SARAVENA;COLOMBIA;NSE1;COLOMBIA;NO;N;Dos;Primaria incompleta;Primaria completa;Estrato 1;Cinco;No;No;No;No;No;47;245;48;48;47;54
20142;SB11201420110388;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO;181736002315;181736002315;81;81736;123182;ARAUCA;MIXTO;SABATINA;SARAVENA;OFICIAL;INSTITUCION EDUCATIVA TECNICO INDUSTRIAL RAFAEL POMBO;TÉCNICO INDUSTRIAL RAFAEL POMBO;S;A-;S;81;81736;81;81736;ARAUCA;ARAUCA;Ninguno;09/10/1996;F;26;43.362911;SARAVENA;SARAVENA;COLOMBIA;NSE2;COLOMBIA;NO;N;Uno;Técnica o tecnológica completa;Secundaria (Bachillerato) incompleta;Estrato 1;Tres;No;No;No;No;No;45;233;41;48;45;50
20142;SB11201420142821;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO;181794000624;181794000624;81;81794;83311;ARAUCA;MIXTO;MAÑANA;TAME;OFICIAL;INSTITUCION EDUCATIVA TECNICO INDUSTRIAL FROILAN FARIAS;COLEGIO TECNICO INDUSTRIAL FROILAN FARIAS;S;A1;S;81;81794;81;81794;ARAUCA;ARAUCA;Ninguno;13/02/1998;M;11;46.850979;TAME;TAME;COLOMBIA;NSE2;COLOMBIA;NO;N;Cuatro;Primaria completa;Primaria incompleta;Estrato 1;Cuatro;Si;Si;Si;No;Si;55;252;54;52;45;48
20142;SB11201420269951;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO;181736001491;181736001491;81;81736;52894;ARAUCA;MIXTO;COMPLETA;SARAVENA;OFICIAL;IE CONCENTRACION DE DESARROLLO RURAL;CONCENTRACION DE DESARROLLO RURAL;S;A1;S;81;81736;81;81736;ARAUCA;ARAUCA;Ninguno;17/04/1997;M;11;42.911346;SARAVENA;SARAVENA;COLOMBIA;NSE2;COLOMBIA;NO;N;Cuatro;Primaria completa;Primaria completa;Estrato 1;Seis;No;No;No;Si;Si;46;231;54;47;44;45
20142;SB11201420243778;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;181001001676;181001001676;81;81001;25601;ARAUCA;MIXTO;MAÑANA;ARAUCA;OFICIAL;INSTITUCION EDUCATIVA NORMAL MARIA INMACULADA;NORMAL SUPERIOR  MARIA INMACULA;S;A-;S;81;81001;81;81001;ARAUCA;ARAUCA;Ninguno;31/03/1996;M;11;57.87035;ARAUCA;ARAUCA;COLOMBIA;NSE3;COLOMBIA;NO;N;Dos;Técnica o tecnológica completa;Secundaria (Bachillerato) incompleta;Estrato 2;Cinco;No;Si;Si;Si;Si;49;277;48;55;55;65
20142;SB11201420478705;ESTUDIANTE;CC;RURAL;N;A;ACADÉMICO;281736002581;281736002581;81;81736;185835;ARAUCA;MIXTO;SABATINA;SARAVENA;OFICIAL;IE AGROPECUARIO JOSE ODEL LIZARAZO;AGROPECUARIO JOSÉ ODEL LIZARAZO;S;A-;S;81;81736;81;81736;ARAUCA;ARAUCA;Ninguno;20/01/1984;F;26;46.675076;SARAVENA;SARAVENA;COLOMBIA;NSE2;COLOMBIA;NO;N;Dos;Primaria completa;Primaria completa;Estrato 1;Cuatro;No;Si;No;Si;Si;42;248;48;52;50;55
20142;SB11201420267505;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO;181736001491;181736001491;81;81736;52894;ARAUCA;MIXTO;COMPLETA;SARAVENA;OFICIAL;IE CONCENTRACION DE DESARROLLO RURAL;CONCENTRACION DE DESARROLLO RURAL;S;A1;S;81;81736;81;81736;ARAUCA;ARAUCA;Ninguno;24/10/1997;M;11;45.835194;SARAVENA;SARAVENA;COLOMBIA;NSE2;COLOMBIA;NO;N;Tres;Primaria completa;Secundaria (Bachillerato) completa;Estrato 1;Cuatro;No;No;No;Si;Si;39;236;52;44;50;54
20142;SB11201420239805;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;181736001921;181736001921;81;81300;55228;ARAUCA;MIXTO;MAÑANA;FORTUL;OFICIAL;INSTITUCION EDUCATIVA ALEJANDRO HUMBOLDT;COLEGIO  ALEJANDRO HUMBOLTD;S;A1;S;81;81736;81;81300;ARAUCA;ARAUCA;Ninguno;21/06/1998;M;11;46.305218;SARAVENA;FORTUL;COLOMBIA;NSE2;COLOMBIA;NO;N;Uno;Técnica o tecnológica completa;Secundaria (Bachillerato) incompleta;Estrato 1;Cuatro;Si;Si;No;No;Si;52;221;50;35;47;41
